HAT-P-29 b,5.72319,279.6904,13.115,0.71,322,6087,0.185,1.45,1.3
HAT-P-3 b,2.8997,206.5895,10.536,0.855,138,5185,-0.344,1.06,0.87
HAT-P-30 b,2.8106,263.7989,16.141,0.309,193,6304,0.41,1.55,1.31
HAT-P-31 b,5.00542,721.4741,12.218,2.18,354,6065,0.372,1.31,1.39
HAT-P-32 b,2.15001,263.7989,19.616,0.18,283,6207,0.34,1.09,1.19
HAT-P-33 b,3.47447,292.4036,20.737,0.2,387,6446,0.659,1.82,1.79
HAT-P-34 b,5.45265,2227.9883,15.132,2.4,257,6442,0.585,4.26,1.73
HAT-P-35 b,3.64671,2390.0816,39.792,0.55,535,6096,0.374,23.56,3.82
HAT-P-36 b,1.32735,486.2799,12.89,0.98,317,5560,-0.009,0.78,1
HAT-P-37 b,2.797436,371.528,13.204,0.89,411,5500,-0.208,0.93,0.88
HAT-P-38 b,4.640382,84.857,9.247,0.59,249,5330,-0.208,0.89,0.92
HAT-P-39 b,3.54387,190.372,17.609,0.19,642,6430,0.607,1.4,1.62
HAT-P-4 b,3.056536,213.255,14.28,0.403,314,5860,0.431,1.27,1.62
HAT-P-40 b,4.45724,152.5584,17.038,0.15,501,6080,0.658,1.03,1.94
HAT-P-41 b,2.69405,378.2177,22.978,0.2,344,6390,0.584,2.56,2.05
HAT-P-42 b,4.641878,331.801,14.348,0.61,447,5743,0.356,1.18,1.53
HAT-P-43 b,3.332687,210.395,14.359,0.39,542,5645,0.045,1.05,1.1
HAT-P-44 b,4.301219,111.871,13.922,0.23,363,5295,-0.194,0.94,0.95
HAT-P-44 c,872.2,1271.3,13,3.18,363,5295,-0.194,0.94,0.95
HAT-P-45 b,3.128992,283.492,15.984,0.38,305,6330,0.4,1.26,1.32
HAT-P-46 b,4.463129,156.684,14.392,0.28,296,6120,0.391,1.28,1.4
HAT-P-49 b,2.69155,699.226,17.822,0.75,322,6820,0.879,2.22,2.06
HAT-P-5 b,2.78849,311.4734,13.563,0.66,340,5960,0.112,1.04,1.12
HAT-P-50 b,3.1220109,429.0705,14.437,0.78,497,6280,0.603,1.27,1.7
HAT-P-51 b,4.2180278,98.20947,14.493,0.178,470,5449,-0.066,0.98,1.04
HAT-P-52 b,2.7535953,259.98494,11.31,0.98,385,5131,-0.305,0.89,0.89
HAT-P-53 b,1.9616241,471.65972,14.773,0.8,719,5956,0.217,1.09,1.21
HAT-P-54 b,3.799847,241.5508,10.581,1.118,144.25,4390,-0.902,0.65,0.62
HAT-P-55 b,3.5852467,184.97706,13.249,0.435,480,5808,0.064,1.01,1.01
HAT-P-56 b,2.79083,734.1873,16.926,0.86,310.5,6566,0.553,1.42,1.47
HAT-P-57 b,2.4653,448.1403,19.504,0.332,303,6330,0.593,2.77,1.85
HAT-P-6 b,3.85298,419.5356,16.589,0.558,261,6570,0.627,1.79,1.62
HAT-P-65 b,2.6054552,167.49641,21.185,0.096,841,5835,0.555,1.21,1.86
HAT-P-66 b,2.972086,248.86089,17.822,0.242,927,6002,0.615,1.25,1.88
HAT-P-67 b,4.8101025,108.0622,23.371,0.052,320,6406,0.939,1.64,2.55
HAT-P-7 b,2.20474,584.8072,16.926,0.712,320,6389,0.791,1.56,2
HAT-P-8 b,3.07634,406.8224,15.693,0.568,230,6200,0.464,1.27,1.57
HAT-P-9 b,3.92289,247.9,15.69,0.35,480,6350,0.41,1.28,1.32
